"date","local_site","time_period","snow_treatment","location","rep","VWC"
2018-07-20,"East Knoll","Mid Season","Early","Bottommiddle",2,3.3
2018-07-27,"Trough","Mid Season","Control","Middle",3,3.3
2018-08-03,"Audubon","Late Season","Control","Topmiddle",2,3.3
2018-08-03,"East Knoll","Late Season","Control","Middle",2,3.3
2018-08-03,"East Knoll","Late Season","Control","Middle",3,3.3
2018-08-03,"East Knoll","Late Season","Early","Topmiddle",2,3.3
2018-08-03,"East Knoll","Late Season","Early","Bottommiddle",3,3.3
2018-08-03,"Lefty","Late Season","Control","Bottom",1,3.3
2018-08-03,"Lefty","Late Season","Early","Top",3,3.3
2018-08-03,"Soddie","Late Season","Control","Topmiddle",2,3.3
2018-08-03,"Soddie","Late Season","Early","Middle",3,3.3
2018-08-09,"East Knoll","Late Season","Control","Top",2,3.3
2018-08-09,"East Knoll","Late Season","Control","Bottommiddle",1,3.3
2018-08-09,"East Knoll","Late Season","Early","Bottom",1,3.3
2018-08-09,"Lefty","Late Season","Control","Middle",1,3.3
2018-08-09,"Lefty","Late Season","Early","Topmiddle",1,3.3
2018-08-09,"Soddie","Late Season","Control","Topmiddle",1,3.3
2018-08-09,"Soddie","Late Season","Control","Middle",2,3.3
2018-08-09,"Trough","Late Season","Early","Top",1,3.3
2018-08-13,"Audubon","Late Season","Control","Bottommiddle",1,3.3
2018-08-13,"Audubon","Late Season","Early","Bottommiddle",2,3.3
2018-08-13,"East Knoll","Late Season","Control","Top",2,3.3
2018-08-13,"East Knoll","Late Season","Control","Middle",3,3.3
2018-08-13,"East Knoll","Late Season","Control","Bottommiddle",2,3.3
2018-08-13,"East Knoll","Late Season","Control","Bottom",2,3.3
2018-08-13,"Lefty","Late Season","Control","Bottom",2,3.3
2018-08-13,"Lefty","Late Season","Early","Top",1,3.3
2018-08-13,"Soddie","Late Season","Control","Top",2,3.3
2018-08-13,"Soddie","Late Season","Control","Top",3,3.3
2018-08-13,"Soddie","Late Season","Control","Topmiddle",3,3.3
2018-08-13,"Soddie","Late Season","Control","Bottommiddle",1,3.3
2018-08-13,"Soddie","Late Season","Early","Topmiddle",1,3.3
2018-08-13,"Soddie","Late Season","Early","Topmiddle",2,3.3
2018-08-13,"Soddie","Late Season","Early","Bottommiddle",2,3.3
2018-08-13,"Audubon","Late Season","Control","Topmiddle",2,3.4
2018-08-13,"Audubon","Late Season","Control","Bottommiddle",2,3.4
2018-08-06,"Lefty","Late Season","Early","Middle",1,3.5
2018-07-05,"Soddie","Mid Season","Early","Bottom",1,3.7
2018-07-09,"Soddie","Mid Season","Control","Bottommiddle",1,3.7
2018-07-13,"Soddie","Mid Season","Control","Bottom",3,3.7
2018-07-18,"Soddie","Mid Season","Control","Top",1,3.7
2018-07-18,"Soddie","Mid Season","Control","Topmiddle",3,3.7
2018-07-20,"East Knoll","Mid Season","Control","Bottom",1,3.7
2018-07-20,"East Knoll","Mid Season","Early","Bottom",1,3.7
2018-07-20,"Lefty","Mid Season","Control","Top",1,3.7
2018-07-20,"Soddie","Mid Season","Control","Bottom",3,3.7
2018-07-20,"Soddie","Mid Season","Early","Top",3,3.7
2018-08-03,"Audubon","Late Season","Control","Topmiddle",3,3.7
2018-08-03,"Audubon","Late Season","Early","Bottom",1,3.7
2018-08-03,"Audubon","Late Season","Early","Bottom",2,3.7
2018-08-03,"East Knoll","Late Season","Control","Top",1,3.7
2018-08-03,"East Knoll","Late Season","Early","Middle",3,3.7
2018-08-03,"East Knoll","Late Season","Early","Bottom",2,3.7
2018-08-03,"Lefty","Late Season","Control","Bottom",3,3.7
2018-08-03,"Lefty","Late Season","Early","Topmiddle",3,3.7
2018-08-03,"Lefty","Late Season","Early","Middle",2,3.7
2018-08-03,"Lefty","Late Season","Early","Bottom",3,3.7
2018-08-03,"Soddie","Late Season","Early","Top",1,3.7
2018-08-09,"Audubon","Late Season","Control","Top",1,3.7
2018-08-09,"East Knoll","Late Season","Control","Top",1,3.7
2018-08-09,"East Knoll","Late Season","Control","Middle",3,3.7
2018-08-09,"Lefty","Late Season","Early","Topmiddle",2,3.7
2018-08-09,"Soddie","Late Season","Control","Top",2,3.7
2018-08-09,"Soddie","Late Season","Early","Topmiddle",2,3.7
2018-08-09,"Soddie","Late Season","Early","Middle",3,3.7
2018-08-09,"Trough","Late Season","Control","Top",3,3.7
2018-08-13,"Audubon","Late Season","Control","Top",2,3.7
2018-08-13,"East Knoll","Late Season","Control","Topmiddle",1,3.7
2018-08-13,"Lefty","Late Season","Control","Bottommiddle",3,3.7
2018-08-13,"Lefty","Late Season","Control","Bottom",3,3.7
2018-08-13,"Soddie","Late Season","Control","Bottommiddle",2,3.7
2018-08-13,"Soddie","Late Season","Early","Topmiddle",3,3.7
2018-08-13,"Soddie","Late Season","Early","Bottom",2,3.7
2018-08-13,"Trough","Late Season","Early","Top",3,3.7
2018-08-06,"Soddie","Late Season","Control","Middle",3,3.9
2018-07-05,"Soddie","Mid Season","Early","Middle",2,4
2018-07-09,"East Knoll","Mid Season","Early","Middle",1,4
2018-07-13,"East Knoll","Mid Season","Control","Middle",2,4
2018-07-13,"East Knoll","Mid Season","Early","Bottommiddle",1,4
2018-07-13,"Soddie","Mid Season","Control","Bottom",1,4
2018-07-18,"East Knoll","Mid Season","Control","Top",2,4
2018-07-18,"East Knoll","Mid Season","Control","Bottom",1,4
2018-07-18,"East Knoll","Mid Season","Early","Topmiddle",3,4
2018-07-18,"East Knoll","Mid Season","Early","Bottom",1,4
2018-07-20,"East Knoll","Mid Season","Control","Middle",2,4
2018-07-20,"East Knoll","Mid Season","Control","Bottom",2,4
2018-07-20,"Lefty","Mid Season","Control","Top",3,4
2018-07-20,"Soddie","Mid Season","Control","Topmiddle",2,4
2018-07-20,"Soddie","Mid Season","Early","Bottom",1,4
2018-08-03,"Audubon","Late Season","Control","Top",3,4
2018-08-03,"Audubon","Late Season","Control","Topmiddle",1,4
2018-08-03,"Audubon","Late Season","Control","Bottommiddle",3,4
2018-08-03,"Audubon","Late Season","Early","Bottommiddle",2,4
2018-08-03,"Audubon","Late Season","Early","Bottom",3,4
2018-08-03,"East Knoll","Late Season","Control","Topmiddle",3,4
2018-08-03,"East Knoll","Late Season","Control","Middle",1,4
2018-08-03,"East Knoll","Late Season","Control","Bottommiddle",3,4
2018-08-03,"East Knoll","Late Season","Early","Top",1,4
2018-08-03,"East Knoll","Late Season","Early","Topmiddle",3,4
2018-08-03,"East Knoll","Late Season","Early","Middle",2,4
2018-08-03,"Lefty","Late Season","Control","Topmiddle",3,4
2018-08-03,"Lefty","Late Season","Early","Bottommiddle",2,4
2018-08-03,"Lefty","Late Season","Early","Bottom",1,4
2018-08-03,"Soddie","Late Season","Control","Topmiddle",1,4
2018-08-03,"Soddie","Late Season","Control","Bottommiddle",1,4
2018-08-03,"Soddie","Late Season","Control","Bottommiddle",2,4
2018-08-03,"Soddie","Late Season","Control","Bottom",3,4
2018-08-03,"Soddie","Late Season","Early","Top",3,4
2018-08-03,"Trough","Late Season","Control","Top",1,4
2018-08-03,"Trough","Late Season","Early","Top",1,4
2018-08-03,"Trough","Late Season","Early","Top",2,4
2018-08-09,"Audubon","Late Season","Control","Middle",2,4
2018-08-09,"Audubon","Late Season","Control","Bottommiddle",1,4
2018-08-09,"East Knoll","Late Season","Control","Bottom",2,4
2018-08-09,"Lefty","Late Season","Control","Middle",2,4
2018-08-09,"Lefty","Late Season","Early","Bottommiddle",3,4
2018-08-09,"Soddie","Late Season","Control","Bottommiddle",2,4
2018-08-09,"Trough","Late Season","Control","Bottom",2,4
2018-08-13,"Audubon","Late Season","Early","Bottom",2,4
2018-08-13,"East Knoll","Late Season","Control","Topmiddle",2,4
2018-08-13,"East Knoll","Late Season","Early","Top",2,4
2018-08-13,"Lefty","Late Season","Control","Middle",2,4
2018-08-13,"Lefty","Late Season","Early","Top",3,4
2018-08-13,"Soddie","Late Season","Control","Middle",1,4
2018-08-13,"Soddie","Late Season","Early","Bottom",3,4
2018-08-13,"Trough","Late Season","Early","Bottom",2,4
2018-06-27,"East Knoll","Early Season","Early","Topmiddle",3,4.1
2018-06-27,"East Knoll","Early Season","Early","Middle",1,4.1
2018-08-06,"Audubon","Late Season","Control","Bottommiddle",1,4.2
2018-08-06,"East Knoll","Late Season","Control","Bottom",3,4.2
2018-08-06,"Soddie","Late Season","Control","Topmiddle",1,4.2
2018-08-06,"Soddie","Late Season","Control","Topmiddle",3,4.2
2018-08-06,"Soddie","Late Season","Control","Middle",2,4.2
2018-06-27,"East Knoll","Early Season","Early","Bottommiddle",1,4.3
2018-06-27,"East Knoll","Early Season","Early","Bottommiddle",2,4.4
2018-06-27,"Lefty","Early Season","Early","Bottom",3,4.4
2018-07-05,"Soddie","Mid Season","Control","Bottom",3,4.4
2018-07-05,"Soddie","Mid Season","Early","Top",2,4.4
2018-07-05,"Soddie","Mid Season","Early","Top",3,4.4
2018-07-09,"Lefty","Mid Season","Early","Topmiddle",1,4.4
2018-07-09,"Soddie","Mid Season","Control","Top",2,4.4
2018-07-09,"Soddie","Mid Season","Control","Bottommiddle",3,4.4
2018-07-09,"Soddie","Mid Season","Early","Top",3,4.4
2018-07-09,"Soddie","Mid Season","Early","Bottom",3,4.4
2018-07-13,"Lefty","Mid Season","Early","Topmiddle",2,4.4
2018-07-13,"Soddie","Mid Season","Early","Topmiddle",2,4.4
2018-07-18,"East Knoll","Mid Season","Control","Bottom",2,4.4
2018-07-18,"East Knoll","Mid Season","Early","Topmiddle",2,4.4
2018-07-18,"Lefty","Mid Season","Early","Bottom",2,4.4
2018-07-18,"Soddie","Mid Season","Control","Top",2,4.4
2018-07-20,"East Knoll","Mid Season","Control","Top",1,4.4
2018-07-20,"East Knoll","Mid Season","Control","Top",2,4.4
2018-07-20,"East Knoll","Mid Season","Control","Bottommiddle",2,4.4
2018-07-20,"East Knoll","Mid Season","Early","Middle",2,4.4
2018-07-20,"Lefty","Mid Season","Control","Top",2,4.4
2018-07-20,"Lefty","Mid Season","Control","Topmiddle",3,4.4
2018-07-20,"Lefty","Mid Season","Early","Bottommiddle",3,4.4
2018-07-20,"Soddie","Mid Season","Control","Bottommiddle",1,4.4
2018-07-20,"Soddie","Mid Season","Control","Bottom",2,4.4
2018-08-03,"Audubon","Late Season","Early","Middle",2,4.4
2018-08-03,"Audubon","Late Season","Early","Bottommiddle",3,4.4
2018-08-03,"East Knoll","Late Season","Control","Topmiddle",2,4.4
2018-08-03,"Lefty","Late Season","Control","Top",2,4.4
2018-08-03,"Lefty","Late Season","Control","Middle",2,4.4
2018-08-03,"Lefty","Late Season","Control","Bottommiddle",1,4.4
2018-08-03,"Lefty","Late Season","Control","Bottommiddle",3,4.4
2018-08-03,"Lefty","Late Season","Early","Middle",3,4.4
2018-08-03,"Soddie","Late Season","Control","Bottommiddle",3,4.4
2018-08-03,"Soddie","Late Season","Early","Top",2,4.4
2018-08-03,"Soddie","Late Season","Early","Bottommiddle",2,4.4
2018-08-03,"Soddie","Late Season","Early","Bottommiddle",3,4.4
2018-08-03,"Soddie","Late Season","Early","Bottom",2,4.4
2018-08-06,"Audubon","Late Season","Control","Bottommiddle",3,4.4
2018-08-06,"Lefty","Late Season","Early","Middle",2,4.4
2018-08-06,"Soddie","Late Season","Control","Bottommiddle",2,4.4
2018-08-06,"Trough","Late Season","Control","Top",3,4.4
2018-08-09,"Audubon","Late Season","Control","Topmiddle",3,4.4
2018-08-09,"Audubon","Late Season","Early","Bottommiddle",3,4.4
2018-08-09,"Audubon","Late Season","Early","Bottom",3,4.4
2018-08-09,"East Knoll","Late Season","Control","Topmiddle",3,4.4
2018-08-09,"East Knoll","Late Season","Control","Middle",2,4.4
2018-08-09,"East Knoll","Late Season","Control","Bottom",3,4.4
2018-08-09,"East Knoll","Late Season","Early","Bottommiddle",3,4.4
2018-08-09,"Lefty","Late Season","Control","Bottommiddle",3,4.4
2018-08-09,"Lefty","Late Season","Early","Middle",2,4.4
2018-08-09,"Soddie","Late Season","Control","Top",1,4.4
2018-08-09,"Soddie","Late Season","Control","Bottommiddle",1,4.4
2018-08-09,"Soddie","Late Season","Control","Bottom",1,4.4
2018-08-13,"Audubon","Late Season","Early","Middle",3,4.4
2018-08-13,"Audubon","Late Season","Early","Bottommiddle",1,4.4
2018-08-13,"Audubon","Late Season","Early","Bottommiddle",3,4.4
2018-08-13,"Audubon","Late Season","Early","Bottom",3,4.4
2018-08-13,"East Knoll","Late Season","Control","Topmiddle",3,4.4
2018-08-13,"Lefty","Late Season","Early","Bottom",1,4.4
2018-08-13,"Soddie","Late Season","Control","Top",1,4.4
2018-08-13,"Trough","Late Season","Control","Top",1,4.4
2018-08-13,"Trough","Late Season","Control","Bottom",3,4.4
2018-08-06,"Audubon","Late Season","Control","Middle",2,4.6
2018-08-06,"East Knoll","Late Season","Control","Bottom",2,4.6
2018-08-06,"East Knoll","Late Season","Early","Middle",2,4.6
2018-08-06,"Lefty","Late Season","Control","Bottommiddle",3,4.6
2018-06-27,"East Knoll","Early Season","Control","Bottommiddle",2,4.7
2018-07-05,"Soddie","Mid Season","Control","Top",3,4.8
2018-07-05,"Soddie","Mid Season","Early","Middle",1,4.8
2018-07-05,"Soddie","Mid Season","Early","Bottom",2,4.8
2018-07-09,"East Knoll","Mid Season","Control","Top",2,4.8
2018-07-09,"East Knoll","Mid Season","Early","Bottommiddle",1,4.8
2018-07-09,"Soddie","Mid Season","Control","Topmiddle",3,4.8
2018-07-09,"Soddie","Mid Season","Control","Bottom",2,4.8
2018-07-09,"Soddie","Mid Season","Early","Topmiddle",3,4.8
2018-07-09,"Soddie","Mid Season","Early","Middle",2,4.8
2018-07-09,"Soddie","Mid Season","Early","Middle",3,4.8
2018-07-13,"East Knoll","Mid Season","Control","Top",1,4.8
2018-07-13,"Soddie","Mid Season","Early","Topmiddle",1,4.8
2018-07-13,"Soddie","Mid Season","Early","Bottommiddle",1,4.8
2018-07-18,"East Knoll","Mid Season","Control","Bottommiddle",1,4.8
2018-07-18,"East Knoll","Mid Season","Early","Middle",2,4.8
2018-07-18,"East Knoll","Mid Season","Early","Middle",3,4.8
2018-07-18,"East Knoll","Mid Season","Early","Bottommiddle",3,4.8
2018-07-18,"Lefty","Mid Season","Control","Top",3,4.8
2018-07-18,"Lefty","Mid Season","Early","Bottommiddle",3,4.8
2018-07-18,"Soddie","Mid Season","Control","Topmiddle",1,4.8
2018-07-18,"Soddie","Mid Season","Control","Middle",2,4.8
2018-07-18,"Soddie","Mid Season","Early","Bottommiddle",2,4.8
2018-07-20,"Audubon","Mid Season","Control","Bottommiddle",2,4.8
2018-07-20,"East Knoll","Mid Season","Control","Bottom",3,4.8
2018-07-20,"East Knoll","Mid Season","Early","Topmiddle",2,4.8
2018-07-20,"East Knoll","Mid Season","Early","Middle",1,4.8
2018-07-20,"East Knoll","Mid Season","Early","Bottommiddle",3,4.8
2018-08-06,"Audubon","Late Season","Early","Middle",1,4.8
2018-08-06,"Lefty","Late Season","Early","Topmiddle",2,4.8
2018-08-06,"Lefty","Late Season","Early","Middle",3,4.8
2018-08-06,"Soddie","Late Season","Control","Middle",1,4.8
2018-08-06,"Soddie","Late Season","Control","Bottommiddle",3,4.8
2018-08-06,"Soddie","Late Season","Control","Bottom",1,4.8
2018-08-06,"Soddie","Late Season","Control","Bottom",3,4.8
2018-08-13,"Audubon","Late Season","Control","Middle",1,4.8
2018-08-13,"Audubon","Late Season","Early","Middle",1,4.8
2018-08-13,"East Knoll","Late Season","Early","Bottom",2,4.8
2018-08-13,"Trough","Late Season","Control","Top",3,4.8
2018-08-13,"Trough","Late Season","Early","Top",2,4.8
2018-06-27,"East Knoll","Early Season","Control","Middle",1,4.9
2018-06-27,"East Knoll","Early Season","Control","Middle",3,4.9
2018-06-27,"East Knoll","Early Season","Early","Top",2,4.9
2018-07-20,"Soddie","Mid Season","Early","Bottommiddle",1,5
2018-08-06,"East Knoll","Late Season","Control","Bottommiddle",1,5
2018-08-06,"East Knoll","Late Season","Early","Middle",1,5
2018-08-06,"Lefty","Late Season","Early","Bottommiddle",1,5
2018-08-06,"Soddie","Late Season","Control","Top",1,5
2018-08-06,"Soddie","Late Season","Control","Bottom",2,5
2018-06-27,"East Knoll","Early Season","Early","Top",3,5.1
2018-06-27,"East Knoll","Early Season","Early","Middle",3,5.1
2018-07-05,"Soddie","Mid Season","Control","Bottom",2,5.1
2018-07-05,"Soddie","Mid Season","Early","Bottommiddle",2,5.1
2018-07-09,"Audubon","Mid Season","Early","Topmiddle",3,5.1
2018-07-09,"East Knoll","Mid Season","Control","Topmiddle",1,5.1
2018-07-09,"East Knoll","Mid Season","Control","Bottommiddle",1,5.1
2018-07-09,"East Knoll","Mid Season","Control","Bottom",3,5.1
2018-07-09,"Lefty","Mid Season","Control","Topmiddle",2,5.1
2018-07-09,"Soddie","Mid Season","Control","Bottommiddle",2,5.1
2018-07-09,"Soddie","Mid Season","Control","Bottom",3,5.1
2018-07-09,"Soddie","Mid Season","Early","Top",2,5.1
2018-07-09,"Soddie","Mid Season","Early","Bottom",1,5.1
2018-07-13,"East Knoll","Mid Season","Control","Topmiddle",1,5.1
2018-07-13,"East Knoll","Mid Season","Early","Middle",3,5.1
2018-07-13,"East Knoll","Mid Season","Early","Bottommiddle",2,5.1
2018-07-13,"Lefty","Mid Season","Control","Top",1,5.1
2018-07-13,"Lefty","Mid Season","Early","Topmiddle",1,5.1
2018-07-13,"Soddie","Mid Season","Control","Top",1,5.1
2018-07-13,"Soddie","Mid Season","Control","Bottommiddle",1,5.1
2018-07-13,"Soddie","Mid Season","Early","Top",3,5.1
2018-07-18,"East Knoll","Mid Season","Control","Top",1,5.1
2018-07-18,"East Knoll","Mid Season","Control","Middle",2,5.1
2018-07-18,"East Knoll","Mid Season","Control","Middle",3,5.1
2018-07-18,"East Knoll","Mid Season","Early","Bottommiddle",1,5.1
2018-07-18,"Soddie","Mid Season","Early","Bottom",3,5.1
2018-07-20,"East Knoll","Mid Season","Control","Bottommiddle",3,5.1
2018-07-20,"East Knoll","Mid Season","Early","Middle",3,5.1
2018-07-20,"Lefty","Mid Season","Control","Middle",3,5.1
2018-07-20,"Soddie","Mid Season","Early","Middle",2,5.1
2018-07-20,"Soddie","Mid Season","Early","Middle",3,5.1
2018-08-03,"East Knoll","Late Season","Control","Top",2,5.1
2018-08-03,"East Knoll","Late Season","Control","Topmiddle",1,5.1
2018-08-03,"East Knoll","Late Season","Control","Bottommiddle",1,5.1
2018-08-03,"East Knoll","Late Season","Early","Middle",1,5.1
2018-08-03,"Lefty","Late Season","Control","Middle",1,5.1
2018-08-03,"Lefty","Late Season","Early","Top",1,5.1
2018-08-03,"Lefty","Late Season","Early","Topmiddle",1,5.1
2018-08-03,"Soddie","Late Season","Control","Middle",3,5.1
2018-08-03,"Soddie","Late Season","Control","Bottom",2,5.1
2018-08-03,"Soddie","Late Season","Early","Topmiddle",3,5.1
2018-08-03,"Trough","Late Season","Control","Top",3,5.1
2018-08-09,"East Knoll","Late Season","Early","Middle",1,5.1
2018-08-09,"Lefty","Late Season","Control","Bottom",3,5.1
2018-08-09,"Lefty","Late Season","Early","Top",3,5.1
2018-08-09,"Soddie","Late Season","Control","Middle",3,5.1
2018-08-13,"Audubon","Late Season","Early","Top",1,5.1
2018-08-13,"East Knoll","Late Season","Early","Bottom",3,5.1
2018-08-13,"Lefty","Late Season","Early","Top",2,5.1
2018-08-13,"Trough","Late Season","Control","Top",2,5.1
2018-08-13,"Trough","Late Season","Early","Top",1,5.1
2018-06-27,"East Knoll","Early Season","Control","Topmiddle",2,5.3
2018-06-27,"Lefty","Early Season","Control","Topmiddle",1,5.4
2018-08-06,"Audubon","Late Season","Control","Bottom",1,5.4
2018-08-06,"Audubon","Late Season","Early","Bottom",2,5.4
2018-08-06,"East Knoll","Late Season","Early","Bottommiddle",2,5.4
2018-08-06,"Lefty","Late Season","Control","Middle",2,5.4
2018-08-06,"Lefty","Late Season","Control","Bottommiddle",2,5.4
2018-08-06,"Lefty","Late Season","Early","Topmiddle",1,5.4
2018-08-06,"Lefty","Late Season","Early","Bottom",2,5.4
2018-07-05,"Soddie","Mid Season","Control","Topmiddle",3,5.5
2018-07-05,"Soddie","Mid Season","Control","Middle",3,5.5
2018-07-05,"Soddie","Mid Season","Control","Bottommiddle",3,5.5
2018-07-05,"Soddie","Mid Season","Early","Top",1,5.5
2018-07-05,"Soddie","Mid Season","Early","Topmiddle",1,5.5
2018-07-09,"Audubon","Mid Season","Control","Topmiddle",3,5.5
2018-07-09,"East Knoll","Mid Season","Control","Top",1,5.5
2018-07-09,"East Knoll","Mid Season","Control","Topmiddle",2,5.5
2018-07-09,"East Knoll","Mid Season","Early","Bottommiddle",2,5.5
